customer_id,age,gender,region,contract_type,tenure_months,monthly_charges,total_charges,internet_service,phone_service,multiple_lines,payment_method,churn
CUST00068,75,Female,West,Two year,16,23.96,389.58,DSL,No,No phone service,Electronic check,1
CUST00069,26,Male,West,Month-to-Month,13,77.72,1028.81,Fiber optic,Yes,No,Bank transfer,0
CUST00070,43,Female,West,Month-to-Month,20,65.17,1313.82,DSL,Yes,Yes,Electronic check,0
CUST00071,70,Male,North,Month-to-Month,24,28.55,721.59,DSL,No,No phone service,Credit card,0
CUST00072,19,Male,East,Month-to-Month,50,61.19,3082.47,Fiber optic,Yes,No,Electronic check,0
CUST00073,37,Male,West,Month-to-Month,7,63.79,458.14,DSL,Yes,No,Bank transfer,0
CUST00074,45,Female,North,Month-to-Month,29,93.76,2751.94,DSL,Yes,No,Mailed check,0
CUST00075,64,Male,North,Two year,5,25.35,130.2,DSL,Yes,No,Electronic check,1
CUST00076,77,Male,North,Two year,35,81.39,2894.54,Fiber optic,Yes,No,Mailed check,0
CUST00077,24,Male,East,Two year,65,71.29,4662.77,Fiber optic,Yes,Yes,Electronic check,1
CUST00078,61,Male,East,Two year,70,47.49,3347.35,DSL,Yes,Yes,Electronic check,0
CUST00079,78,Female,East,One year,7,94.44,673.54,DSL,No,No phone service,Electronic check,1
CUST00080,25,Male,East,Two year,44,76.3,3384.59,DSL,Yes,No,Electronic check,1
CUST00081,64,Female,South,Two year,13,72.03,950.75,DSL,Yes,No,Credit card,0
CUST00082,52,Female,East,Month-to-Month,38,115.24,4398.85,Fiber optic,Yes,Yes,Mailed check,0
CUST00083,31,Female,East,One year,13,101.46,1363.41,DSL,Yes,No,Electronic check,0
CUST00084,34,Female,East,Two year,54,40.64,2204.27,Fiber optic,Yes,No,Bank transfer,0
CUST00085,53,Male,West,One year,44,58.8,2604.6,No,Yes,No,Credit card,0
CUST00086,67,Female,West,Month-to-Month,13,86.29,1154.56,No,Yes,Yes,Electronic check,1
CUST00087,57,Female,East,Month-to-Month,25,75.01,1911.49,DSL,Yes,Yes,Electronic check,1
CUST00088,21,Female,South,One year,24,63.07,1519.43,Fiber optic,No,No phone service,Electronic check,0
CUST00089,19,Female,West,Two year,29,118.13,3472.58,No,Yes,No,Credit card,0
CUST00090,79,Male,North,Month-to-Month,70,36.59,2562.65,DSL,Yes,No,Mailed check,0
CUST00091,23,Male,West,Month-to-Month,18,53.85,972.64,No,Yes,No,Bank transfer,0
CUST00092,71,Female,North,Month-to-Month,5,59.62,336.2,No,Yes,No,Electronic check,1
CUST00093,59,Female,West,Month-to-Month,18,26.84,521.69,DSL,Yes,Yes,Bank transfer,1
CUST00094,21,Female,East,Month-to-Month,63,66.79,4241.07,Fiber optic,Yes,Yes,Electronic check,0
CUST00095,71,Male,West,One year,37,72.46,2707.1,DSL,No,No phone service,Mailed check,0
CUST00096,46,Male,East,Two year,71,46.46,3313.09,DSL,Yes,No,Bank transfer,0
CUST00097,35,Male,East,One year,55,116.19,6432.45,No,No,No phone service,Credit card,0
CUST00098,43,Male,West,Month-to-Month,12,73.53,917.3,No,Yes,Yes,Mailed check,0
CUST00099,61,Male,North,Two year,52,78.18,4113.76,No,Yes,No,Electronic check,0
CUST00100,51,Female,North,Month-to-Month,57,109.38,6257.38,DSL,No,No phone service,Bank transfer,0
CUST00101,27,Male,West,Month-to-Month,46,47.42,2204.85,No,Yes,No,Electronic check,1
CUST00102,79,Male,East,Month-to-Month,44,83.42,3710.05,No,Yes,Yes,Electronic check,0
CUST00103,53,Female,North,One year,24,64.92,1607.73,No,No,No phone service,Mailed check,0
CUST00104,31,Male,South,One year,9,57.15,559.17,No,No,No phone service,Electronic check,0
CUST00105,48,Male,East,Two year,12,57.73,707.63,Fiber optic,Yes,Yes,Mailed check,1
CUST00106,65,Male,West,Month-to-Month,9,22.4,249.28,DSL,Yes,Yes,Electronic check,0
CUST00107,32,Female,East,Month-to-Month,22,102.11,2256.32,DSL,Yes,No,Bank transfer,0
CUST00108,25,Male,South,Month-to-Month,17,78.56,1356.59,DSL,Yes,No,Electronic check,1
CUST00109,31,Female,South,One year,33,113.27,3782.26,Fiber optic,Yes,Yes,Credit card,1
CUST00110,40,Female,North,One year,47,104.55,4929.52,DSL,Yes,No,Bank transfer,0
CUST00111,77,Male,South,Month-to-Month,15,118.49,1794.96,Fiber optic,Yes,No,Bank transfer,1
CUST00112,74,Male,East,Month-to-Month,33,23.38,821.28,DSL,Yes,Yes,Bank transfer,1
CUST00113,79,Male,North,Two year,15,84.84,1295.15,No,Yes,Yes,Credit card,0
CUST00114,57,Male,South,Two year,27,115.46,3164.79,DSL,Yes,Yes,Electronic check,0
CUST00115,38,Female,North,Month-to-Month,61,96.85,5921.55,Fiber optic,Yes,Yes,Electronic check,0
CUST00116,33,Male,North,One year,68,51.73,3542.68,Fiber optic,Yes,No,Mailed check,0
CUST00117,62,Female,West,One year,48,31.25,1519.14,DSL,Yes,Yes,Electronic check,0
CUST00118,35,Female,North,Month-to-Month,8,86.83,722.85,Fiber optic,Yes,No,Bank transfer,1
CUST00119,64,Female,North,Month-to-Month,6,85.84,559.96,Fiber optic,Yes,Yes,Bank transfer,1
CUST00120,70,Female,South,Month-to-Month,63,49.23,3151.03,Fiber optic,Yes,No,Credit card,0
CUST00121,41,Female,East,Month-to-Month,2,100.57,226.19,No,Yes,Yes,Electronic check,1
CUST00122,43,Male,East,One year,22,83.21,1839.37,DSL,Yes,Yes,Credit card,0
CUST00123,42,Female,South,Month-to-Month,21,61.47,1293.39,No,Yes,No,Credit card,0
CUST00124,77,Female,East,Month-to-Month,6,66.58,407.46,No,Yes,Yes,Electronic check,1
CUST00125,77,Male,North,Month-to-Month,70,44.77,3171.22,No,Yes,No,Electronic check,0
CUST00126,77,Male,West,Month-to-Month,13,73.86,989.9,DSL,Yes,No,Credit card,0
CUST00127,62,Female,North,One year,1,70.21,107.65,DSL,Yes,No,Mailed check,0
CUST00128,58,Female,North,Month-to-Month,22,114.33,2562.96,Fiber optic,Yes,Yes,Electronic check,1
CUST00129,46,Male,West,Month-to-Month,24,70.93,1737.66,DSL,Yes,No,Electronic check,1
CUST00130,32,Female,South,Two year,64,97.75,6294.88,DSL,Yes,Yes,Bank transfer,0
CUST00131,62,Male,North,Month-to-Month,41,81.42,3359.58,DSL,No,No phone service,Electronic check,1
CUST00132,18,Male,North,One year,22,42.52,961.01,Fiber optic,Yes,No,Mailed check,1
CUST00133,42,Female,South,Month-to-Month,61,24.95,1563.11,DSL,Yes,No,Credit card,0
CUST00134,24,Male,North,Two year,12,90.19,1114.23,No,Yes,Yes,Bank transfer,0
CUST00135,26,Female,North,One year,4,100.23,427.69,Fiber optic,No,No phone service,Mailed check,0
CUST00136,41,Female,East,Month-to-Month,12,107.49,1300.94,DSL,Yes,No,Electronic check,1
CUST00137,18,Female,South,One year,33,88.37,2946.35,No,Yes,No,Electronic check,0
CUST00138,61,Male,North,Month-to-Month,21,63.43,1346.59,No,Yes,No,Electronic check,0
CUST00139,25,Female,North,Two year,52,69.26,3631.03,DSL,Yes,No,Electronic check,0
CUST00140,41,Male,West,Month-to-Month,47,96.04,4537.07,DSL,No,No phone service,Bank transfer,0
CUST00141,28,Female,West,One year,59,37.81,2235.88,DSL,No,No phone service,Credit card,0
CUST00142,68,Female,West,Month-to-Month,47,65.27,3110.55,No,Yes,Yes,Electronic check,1
CUST00143,34,Male,North,One year,56,25.39,1450.91,DSL,Yes,Yes,Mailed check,0
CUST00144,25,Female,North,Two year,13,30.53,442.04,Fiber optic,No,No phone service,Electronic check,0
CUST00145,52,Female,West,Two year,44,43.08,1941.87,Fiber optic,Yes,Yes,Credit card,0
CUST00146,52,Male,East,Month-to-Month,35,83.0,2930.88,Fiber optic,Yes,Yes,Bank transfer,1
CUST00147,50,Male,East,Month-to-Month,29,112.01,3282.19,Fiber optic,Yes,Yes,Credit card,1
CUST00148,76,Male,East,Month-to-Month,56,56.49,3208.21,DSL,Yes,No,Credit card,1
CUST00149,22,Female,East,Month-to-Month,5,70.03,384.16,DSL,Yes,Yes,Electronic check,1
CUST00150,59,Male,South,Month-to-Month,67,77.05,5174.55,DSL,Yes,No,Electronic check,1
CUST00151,56,Male,West,Month-to-Month,53,48.46,2581.3,Fiber optic,Yes,No,Mailed check,1
CUST00152,75,Female,North,Month-to-Month,60,88.98,5359.74,No,Yes,No,Mailed check,0
CUST00153,58,Male,West,Month-to-Month,6,41.24,249.32,No,Yes,No,Mailed check,0
CUST00154,45,Female,East,Month-to-Month,48,38.93,1887.19,DSL,No,No phone service,Electronic check,0
CUST00155,24,Female,North,Month-to-Month,35,40.58,1427.48,DSL,No,No phone service,Mailed check,0
CUST00156,26,Male,South,Month-to-Month,18,67.93,1264.1,No,Yes,No,Credit card,1
CUST00157,25,Female,West,One year,11,45.02,534.33,No,Yes,Yes,Electronic check,1
CUST00158,29,Male,North,Month-to-Month,51,63.32,3238.08,DSL,Yes,Yes,Credit card,1
CUST00159,51,Male,North,Month-to-Month,23,57.69,1341.1,Fiber optic,No,No phone service,Electronic check,1
CUST00160,50,Male,East,Month-to-Month,47,103.1,4874.2,DSL,Yes,Yes,Electronic check,1
CUST00161,65,Male,East,Month-to-Month,59,41.91,2485.16,DSL,Yes,No,Bank transfer,0
CUST00162,72,Female,West,One year,57,50.61,2887.55,Fiber optic,Yes,No,Credit card,0
CUST00163,40,Female,South,Month-to-Month,56,115.24,6491.71,No,Yes,Yes,Electronic check,1
CUST00164,79,Male,North,Month-to-Month,27,44.46,1204.98,DSL,Yes,No,Electronic check,0
CUST00165,41,Male,East,Two year,35,99.69,3523.04,Fiber optic,Yes,No,Bank transfer,0
CUST00166,54,Female,West,Two year,55,34.16,1886.29,Fiber optic,Yes,No,Electronic check,0
CUST00167,52,Male,East,Month-to-Month,9,78.67,708.41,Fiber optic,Yes,No,Mailed check,1
CUST00168,61,Female,West,Month-to-Month,18,29.2,553.72,Fiber optic,Yes,No,Mailed check,1
CUST00169,57,Male,East,Month-to-Month,44,61.0,2698.23,DSL,No,No phone service,Mailed check,0
CUST00170,39,Female,South,Month-to-Month,21,115.56,2433.26,DSL,Yes,No,Electronic check,1
CUST00171,44,Female,North,Month-to-Month,56,84.26,4752.81,Fiber optic,Yes,No,Electronic check,1
CUST00172,52,Female,East,One year,48,40.77,1989.17,Fiber optic,No,No phone service,Bank transfer,1
CUST00173,18,Male,North,Month-to-Month,1,100.88,121.45,DSL,Yes,Yes,Electronic check,1
CUST00174,52,Male,West,Two year,27,85.45,2311.58,Fiber optic,Yes,Yes,Credit card,0
CUST00175,54,Male,South,Month-to-Month,45,112.77,5097.94,Fiber optic,Yes,Yes,Bank transfer,1
CUST00176,64,Male,North,Month-to-Month,63,42.88,2706.65,Fiber optic,Yes,No,Credit card,1
CUST00177,31,Male,East,One year,58,32.13,1913.26,Fiber optic,Yes,Yes,Electronic check,0
CUST00178,20,Female,North,Month-to-Month,40,83.49,3351.34,Fiber optic,Yes,No,Mailed check,1
CUST00179,18,Female,North,Month-to-Month,63,111.36,7015.84,DSL,Yes,No,Bank transfer,1
CUST00180,22,Female,West,Month-to-Month,38,97.78,3726.64,Fiber optic,No,No phone service,Bank transfer,1
CUST00181,43,Female,South,Month-to-Month,29,61.11,1803.17,DSL,No,No phone service,Electronic check,0
CUST00182,72,Female,South,Month-to-Month,40,63.17,2575.62,Fiber optic,Yes,No,Electronic check,1
CUST00183,31,Female,North,Month-to-Month,19,53.26,1038.21,Fiber optic,Yes,Yes,Bank transfer,1
CUST00184,56,Female,North,Month-to-Month,56,111.73,6279.13,DSL,Yes,Yes,Bank transfer,0
CUST00185,44,Male,West,Month-to-Month,44,101.16,4500.65,DSL,Yes,Yes,Electronic check,1
CUST00186,26,Female,North,Two year,65,46.74,3046.35,DSL,No,No phone service,Bank transfer,0
CUST00187,32,Male,West,Month-to-Month,13,52.07,686.8,Fiber optic,No,No phone service,Electronic check,1
CUST00188,32,Female,South,Month-to-Month,30,93.98,2838.43,DSL,Yes,No,Electronic check,1
CUST00189,43,Female,South,Two year,49,62.42,3095.96,DSL,Yes,Yes,Credit card,0
CUST00190,59,Male,West,One year,63,80.97,5116.24,Fiber optic,Yes,Yes,Mailed check,0
CUST00191,77,Female,North,Month-to-Month,71,35.55,2547.55,DSL,No,No phone service,Electronic check,0
CUST00192,30,Male,South,Month-to-Month,35,102.66,3640.07,DSL,Yes,No,Bank transfer,0
CUST00193,68,Female,East,One year,11,75.64,875.68,No,Yes,No,Mailed check,0
CUST00194,49,Male,West,Month-to-Month,49,102.57,5073.28,No,No,No phone service,Mailed check,1
CUST00195,56,Female,South,One year,40,91.49,3667.94,DSL,No,No phone service,Credit card,0
CUST00196,66,Male,South,Two year,21,62.9,1345.01,Fiber optic,Yes,No,Electronic check,1
CUST00197,69,Male,South,Month-to-Month,47,88.06,4174.48,Fiber optic,Yes,No,Mailed check,0
CUST00198,78,Female,East,Month-to-Month,3,25.99,114.61,No,Yes,No,Electronic check,1
CUST00199,49,Female,East,One year,30,63.62,1936.1,Fiber optic,Yes,Yes,Credit card,1
CUST00200,21,Male,East,Month-to-Month,67,63.58,4300.9,Fiber optic,Yes,Yes,Electronic check,0
CUST00201,47,Female,North,Month-to-Month,62,62.06,3849.86,No,Yes,Yes,Electronic check,1
CUST00202,54,Male,West,Month-to-Month,37,31.76,1184.97,DSL,Yes,Yes,Electronic check,1
CUST00203,40,Female,North,One year,22,68.7,1527.8,Fiber optic,Yes,Yes,Bank transfer,0
CUST00204,56,Male,East,Month-to-Month,31,96.17,3017.72,Fiber optic,Yes,No,Bank transfer,1
CUST00205,62,Female,West,Two year,46,52.3,2450.89,No,Yes,No,Bank transfer,0
CUST00206,32,Male,North,One year,45,101.86,4610.14,No,Yes,Yes,Credit card,0
CUST00207,60,Female,North,Month-to-Month,14,78.55,1135.11,DSL,Yes,No,Credit card,1
CUST00208,46,Male,North,One year,12,92.41,1138.64,DSL,No,No phone service,Electronic check,1
CUST00209,53,Male,East,Month-to-Month,63,109.77,6961.73,DSL,Yes,Yes,Electronic check,1
CUST00210,30,Female,South,One year,38,68.22,2637.36,DSL,Yes,Yes,Mailed check,0
CUST00211,49,Female,West,Month-to-Month,47,104.49,4951.43,Fiber optic,Yes,No,Electronic check,0
CUST00212,24,Male,East,Month-to-Month,54,34.04,1852.14,Fiber optic,Yes,No,Electronic check,0
CUST00213,76,Male,West,One year,55,97.84,5399.86,Fiber optic,Yes,No,Electronic check,1
CUST00214,68,Male,East,Month-to-Month,48,103.37,4982.58,Fiber optic,Yes,No,Electronic check,1
CUST00215,39,Male,North,One year,15,110.34,1655.32,DSL,Yes,Yes,Electronic check,1
CUST00216,45,Female,North,One year,71,28.1,2006.65,Fiber optic,Yes,No,Electronic check,0
CUST00217,19,Male,South,Month-to-Month,16,31.7,542.89,No,No,No phone service,Mailed check,0
CUST00218,59,Male,South,Month-to-Month,43,22.26,984.4,Fiber optic,Yes,Yes,Electronic check,0
CUST00219,62,Male,West,Two year,7,70.58,541.95,DSL,Yes,Yes,Bank transfer,0
CUST00220,79,Female,South,Month-to-Month,43,39.29,1690.93,DSL,Yes,Yes,Bank transfer,1
CUST00221,74,Male,South,One year,28,76.78,2168.75,DSL,Yes,No,Bank transfer,0
CUST00222,70,Female,West,One year,66,109.23,7244.54,Fiber optic,No,No phone service,Mailed check,1
CUST00223,23,Female,East,Two year,60,52.7,3168.69,DSL,Yes,No,Credit card,0
CUST00224,45,Female,South,One year,3,20.53,86.57,No,Yes,No,Mailed check,0
CUST00225,45,Female,East,Month-to-Month,1,108.99,109.78,No,Yes,Yes,Electronic check,0
CUST00226,61,Female,North,Two year,31,82.19,2556.9,Fiber optic,Yes,Yes,Credit card,0
CUST00227,61,Female,South,One year,56,40.15,2295.31,DSL,No,No phone service,Bank transfer,0
CUST00228,37,Female,North,One year,46,89.24,4135.01,Fiber optic,Yes,Yes,Electronic check,1
CUST00229,47,Male,North,Month-to-Month,32,83.28,2702.92,No,Yes,No,Credit card,1
CUST00230,79,Male,East,Month-to-Month,18,58.01,1049.29,DSL,Yes,Yes,Credit card,0
CUST00231,28,Female,West,One year,68,41.21,2814.01,No,Yes,Yes,Credit card,0
CUST00232,75,Male,South,Month-to-Month,35,119.24,4183.0,Fiber optic,Yes,Yes,Bank transfer,0
CUST00233,72,Male,East,Month-to-Month,23,84.3,1952.64,DSL,Yes,Yes,Electronic check,0
CUST00234,45,Female,West,Month-to-Month,13,20.17,275.13,Fiber optic,Yes,Yes,Bank transfer,1
CUST00235,42,Male,North,Month-to-Month,14,32.56,484.02,DSL,Yes,Yes,Credit card,0
CUST00236,56,Female,South,Month-to-Month,37,44.74,1690.66,Fiber optic,Yes,No,Bank transfer,0
CUST00237,79,Male,North,Month-to-Month,5,101.31,533.97,Fiber optic,Yes,No,Mailed check,0
CUST00238,50,Female,North,Month-to-Month,22,67.47,1499.29,DSL,No,No phone service,Electronic check,0
CUST00239,18,Female,South,One year,28,26.01,763.02,DSL,Yes,No,Bank transfer,1
CUST00240,74,Male,West,Month-to-Month,4,46.51,213.63,DSL,Yes,No,Bank transfer,0
CUST00241,44,Male,West,Month-to-Month,50,118.07,5935.43,Fiber optic,No,No phone service,Electronic check,1
CUST00242,79,Female,South,Month-to-Month,29,96.79,2817.49,DSL,Yes,Yes,Credit card,1
CUST00243,74,Female,South,Month-to-Month,37,20.47,805.37,Fiber optic,Yes,Yes,Electronic check,0
CUST00244,69,Female,East,One year,35,103.87,3651.84,DSL,Yes,Yes,Electronic check,0
CUST00245,30,Male,East,One year,20,39.23,803.08,DSL,Yes,Yes,Mailed check,0
CUST00246,58,Male,North,Month-to-Month,35,53.08,1884.83,DSL,Yes,No,Electronic check,0
CUST00247,20,Male,South,Month-to-Month,2,31.84,66.16,DSL,Yes,No,Mailed check,1
CUST00248,56,Male,West,Two year,58,21.06,1231.04,DSL,No,No phone service,Credit card,0
CUST00249,23,Female,North,Month-to-Month,18,70.4,1307.83,No,Yes,Yes,Bank transfer,1
CUST00250,25,Female,North,Month-to-Month,56,48.6,2761.29,Fiber optic,Yes,Yes,Electronic check,0
CUST00251,44,Female,North,Month-to-Month,64,56.02,3592.37,No,Yes,No,Electronic check,0
CUST00252,26,Female,North,Month-to-Month,52,36.9,1948.28,DSL,Yes,Yes,Credit card,0
CUST00253,79,Male,West,Month-to-Month,22,100.65,2217.61,No,Yes,No,Electronic check,1
CUST00254,54,Female,North,Month-to-Month,60,37.35,2244.73,Fiber optic,Yes,No,Electronic check,0
CUST00255,50,Female,South,Month-to-Month,10,71.73,757.28,Fiber optic,Yes,No,Electronic check,1
CUST00256,68,Male,East,Month-to-Month,6,66.94,425.17,DSL,Yes,No,Bank transfer,1
CUST00257,59,Male,West,Month-to-Month,6,111.97,718.15,DSL,No,No phone service,Bank transfer,1
CUST00258,61,Female,South,Month-to-Month,28,118.77,3349.47,No,Yes,Yes,Bank transfer,1
CUST00259,41,Male,South,Month-to-Month,42,110.58,4684.71,Fiber optic,Yes,Yes,Electronic check,1
CUST00260,32,Female,South,Month-to-Month,41,93.35,3859.29,Fiber optic,Yes,No,Credit card,0
CUST00261,76,Male,East,Month-to-Month,63,63.07,3994.94,DSL,No,No phone service,Bank transfer,1
CUST00262,71,Male,East,One year,22,33.06,755.06,DSL,No,No phone service,Mailed check,0
CUST00263,49,Female,East,One year,29,106.99,3149.42,No,No,No phone service,Electronic check,0
CUST00264,49,Male,South,Month-to-Month,71,91.62,6508.81,Fiber optic,No,No phone service,Credit card,0
CUST00265,41,Female,East,Month-to-Month,34,33.18,1154.59,Fiber optic,No,No phone service,Mailed check,1
CUST00266,58,Male,North,One year,2,28.8,60.19,DSL,Yes,No,Mailed check,0
CUST00267,69,Male,East,Month-to-Month,26,87.43,2300.95,Fiber optic,Yes,No,Mailed check,0
CUST00268,66,Male,West,Month-to-Month,19,110.59,2131.56,DSL,Yes,Yes,Electronic check,1
CUST00269,79,Male,South,One year,20,41.38,867.97,DSL,Yes,No,Electronic check,0
CUST00270,66,Male,South,Two year,33,61.2,2059.51,Fiber optic,Yes,Yes,Bank transfer,0
CUST00271,75,Female,North,Month-to-Month,4,116.44,466.26,Fiber optic,No,No phone service,Mailed check,0
CUST00272,69,Male,East,Month-to-Month,32,114.6,3670.76,DSL,Yes,No,Electronic check,1
CUST00273,29,Female,East,Two year,19,89.87,1741.76,Fiber optic,No,No phone service,Credit card,0
CUST00274,79,Male,West,Month-to-Month,3,67.41,211.37,Fiber optic,Yes,No,Mailed check,0
CUST00275,56,Female,North,Two year,61,57.29,3521.1,No,Yes,No,Bank transfer,0
CUST00276,19,Male,West,Month-to-Month,38,59.1,2257.39,DSL,Yes,No,Credit card,0
CUST00277,20,Female,West,Month-to-Month,6,70.49,464.67,DSL,No,No phone service,Electronic check,0
CUST00278,66,Female,South,Month-to-Month,56,88.77,5005.17,No,Yes,No,Mailed check,0
CUST00279,54,Male,South,Two year,40,71.09,2865.38,Fiber optic,Yes,No,Mailed check,0
CUST00280,66,Male,East,Two year,69,42.97,2976.16,Fiber optic,Yes,No,Bank transfer,0
